epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1371.95,1.16295,1.41841,1.57525,0.31883,0.51551,0.28851,0.17127,1.47838,2.11817,1.82147,0.00108088,0.00108088,0.00108088
43,1402.8,1.13561,1.3687,1.54093,0.36342,0.4475,0.36294,0.21609,1.4435,1.83977,1.7686,0.00107675,0.00107675,0.00107675
44,1435.95,1.12047,1.35808,1.52182,0.31516,0.4868,0.33625,0.20369,1.40254,1.96307,1.79961,0.00107263,0.00107263,0.00107263
45,1466.88,1.12432,1.35071,1.53958,0.29813,0.52288,0.31651,0.18176,1.42813,2.07782,1.79839,0.0010685,0.0010685,0.0010685
46,1497.49,1.12025,1.37224,1.52111,0.35911,0.48419,0.34478,0.216,1.4147,1.90234,1.76168,0.00106437,0.00106437,0.00106437
47,1528.71,1.10436,1.33581,1.52037,0.35177,0.48497,0.3171,0.18171,1.44735,1.9738,1.81521,0.00106025,0.00106025,0.00106025
48,1560.61,1.1167,1.33631,1.51013,0.43946,0.35775,0.34609,0.19484,1.46425,1.9957,1.80385,0.00105612,0.00105612,0.00105612
49,1593.26,1.10852,1.3125,1.52432,0.37344,0.43781,0.34392,0.18765,1.51224,1.98318,1.83616,0.001052,0.001052,0.001052
50,1624.76,1.09811,1.31511,1.5186,0.33322,0.43632,0.33321,0.1973,1.44757,2.05873,1.81281,0.00104787,0.00104787,0.00104787
51,1656.62,1.10607,1.30971,1.50773,0.35952,0.46453,0.34203,0.20614,1.47826,2.00218,1.81864,0.00104375,0.00104375,0.00104375
52,1687.65,1.10528,1.28558,1.5011,0.39755,0.5065,0.42078,0.25683,1.39177,1.80553,1.75497,0.00103962,0.00103962,0.00103962
53,1719.97,1.07583,1.27535,1.49433,0.33613,0.46527,0.33379,0.20992,1.37546,1.94002,1.76599,0.0010355,0.0010355,0.0010355
54,1752.5,1.08611,1.28844,1.49169,0.38243,0.506,0.40252,0.24779,1.39128,1.8332,1.74395,0.00103138,0.00103138,0.00103138
55,1783.96,1.08204,1.28891,1.4955,0.33129,0.49473,0.3582,0.22393,1.37742,1.93252,1.76434,0.00102725,0.00102725,0.00102725
56,1815.08,1.03888,1.23603,1.46308,0.4942,0.39888,0.40301,0.25034,1.43886,1.86674,1.79933,0.00102312,0.00102312,0.00102312
57,1847.44,1.07475,1.24922,1.47963,0.32244,0.54898,0.34315,0.2107,1.43668,2.04409,1.77765,0.001019,0.001019,0.001019
58,1880.76,1.04085,1.23011,1.46715,0.4586,0.33841,0.3444,0.20843,1.42607,2.03955,1.76822,0.00101488,0.00101488,0.00101488
59,1911.77,1.03924,1.2284,1.46394,0.40179,0.52613,0.40965,0.25548,1.38072,1.83723,1.75936,0.00101075,0.00101075,0.00101075
60,1943.68,1.03199,1.20304,1.45112,0.39769,0.48875,0.3959,0.22784,1.42377,1.91535,1.7728,0.00100663,0.00100663,0.00100663
61,1975.12,1.05409,1.23331,1.46056,0.40827,0.47137,0.37659,0.23005,1.46556,1.95469,1.81742,0.0010025,0.0010025,0.0010025
62,2006.18,1.02126,1.19334,1.44738,0.41582,0.43612,0.41464,0.26118,1.39606,1.94963,1.78415,0.000998375,0.000998375,0.000998375
63,2038.74,1.04982,1.24392,1.45539,0.4081,0.50207,0.39721,0.23705,1.42744,1.83415,1.78848,0.00099425,0.00099425,0.00099425
64,2070.24,1.03323,1.18278,1.4386,0.38621,0.57125,0.42596,0.26599,1.46331,1.83874,1.79151,0.000990125,0.000990125,0.000990125
65,2102.94,1.03555,1.184,1.45008,0.4075,0.50095,0.41242,0.26862,1.34386,1.87739,1.71968,0.000986,0.000986,0.000986
66,2136.63,1.02508,1.19337,1.43191,0.44087,0.47477,0.40112,0.24155,1.41355,1.894,1.77466,0.000981875,0.000981875,0.000981875
67,2169.58,0.9833,1.16379,1.42731,0.4302,0.49065,0.42306,0.27216,1.33614,1.76136,1.69945,0.00097775,0.00097775,0.00097775
68,2201.87,1.00435,1.15811,1.43178,0.41849,0.48616,0.4568,0.29392,1.31873,1.77263,1.69061,0.000973625,0.000973625,0.000973625
69,2235.34,0.99211,1.14663,1.42982,0.43235,0.51417,0.42374,0.26334,1.40302,1.79206,1.73733,0.0009695,0.0009695,0.0009695
70,2266.64,1.00709,1.11675,1.41836,0.38966,0.50029,0.42815,0.26352,1.36018,1.8211,1.75271,0.000965375,0.000965375,0.000965375
71,2297.69,1.0061,1.1278,1.4222,0.36664,0.57193,0.42676,0.27593,1.35372,1.77008,1.71414,0.00096125,0.00096125,0.00096125
72,2329.31,0.99678,1.11439,1.42026,0.44167,0.50731,0.45707,0.29327,1.3671,1.81047,1.74909,0.000957125,0.000957125,0.000957125
73,2360.94,1.00168,1.09575,1.41384,0.43915,0.57729,0.49317,0.31494,1.32227,1.65026,1.71745,0.000953,0.000953,0.000953
74,2393.26,1.00418,1.11912,1.40746,0.38751,0.55158,0.453,0.29217,1.35746,1.81359,1.72692,0.000948875,0.000948875,0.000948875
75,2425.86,0.99142,1.07922,1.40066,0.42709,0.58306,0.48377,0.3104,1.3288,1.73493,1.68495,0.00094475,0.00094475,0.00094475
76,2456.63,0.98203,1.09842,1.4051,0.46201,0.52104,0.45515,0.28154,1.36205,1.71506,1.73936,0.000940625,0.000940625,0.000940625
77,2487.59,0.98022,1.12626,1.41229,0.47791,0.55104,0.47369,0.29525,1.34069,1.66121,1.71144,0.0009365,0.0009365,0.0009365
78,2518.09,0.97296,1.08624,1.39073,0.48154,0.58191,0.48965,0.28719,1.34019,1.75424,1.72561,0.000932375,0.000932375,0.000932375
79,2549.1,0.98018,1.10415,1.41334,0.47643,0.54108,0.47782,0.3115,1.28226,1.71246,1.66196,0.00092825,0.00092825,0.00092825
80,2579.98,0.97765,1.07507,1.39463,0.51908,0.48743,0.47377,0.3092,1.36711,1.78875,1.74288,0.000924125,0.000924125,0.000924125
81,2611.12,0.96715,1.08256,1.40269,0.41411,0.50698,0.43753,0.27609,1.35007,1.81735,1.70577,0.00092,0.00092,0.00092
82,2641.79,0.9727,1.08644,1.39265,0.49847,0.53571,0.49051,0.30949,1.33896,1.67463,1.72349,0.000915875,0.000915875,0.000915875
83,2673.09,0.96694,1.07111,1.39176,0.50556,0.55402,0.51612,0.34124,1.2852,1.60794,1.66586,0.00091175,0.00091175,0.00091175
84,2707.67,0.97182,1.05973,1.40236,0.53585,0.52941,0.50452,0.31764,1.32899,1.7466,1.68093,0.000907625,0.000907625,0.000907625
85,2739.15,0.95195,1.04943,1.37082,0.50629,0.45141,0.46961,0.2865,1.36056,1.72815,1.72469,0.0009035,0.0009035,0.0009035
86,2771.56,0.96874,1.05352,1.3894,0.55718,0.50417,0.5102,0.32558,1.32114,1.70178,1.69625,0.000899375,0.000899375,0.000899375
87,2802.82,0.9397,1.04781,1.37236,0.53528,0.54132,0.48966,0.31792,1.32035,1.71748,1.71328,0.00089525,0.00089525,0.00089525
88,2834.06,0.94727,1.04466,1.38259,0.50807,0.47664,0.44413,0.28548,1.3451,1.82077,1.71189,0.000891125,0.000891125,0.000891125
89,2865.75,0.96039,1.03602,1.37542,0.46295,0.54132,0.48223,0.30105,1.37505,1.71716,1.75139,0.000887,0.000887,0.000887
90,2897.41,0.94054,1.0468,1.3823,0.57587,0.47153,0.49398,0.31658,1.32644,1.69417,1.70556,0.000882875,0.000882875,0.000882875
91,2928.55,0.9517,1.005,1.3664,0.54265,0.45505,0.48498,0.31085,1.36199,1.80713,1.73968,0.00087875,0.00087875,0.00087875
92,2959.51,0.94204,1.0176,1.37599,0.54195,0.47475,0.50229,0.32505,1.35817,1.67662,1.70473,0.000874625,0.000874625,0.000874625
93,2992.98,0.93313,1.01778,1.35637,0.52573,0.52625,0.53449,0.34563,1.29385,1.58195,1.66127,0.0008705,0.0008705,0.0008705
94,3025.57,0.93454,1.00579,1.36557,0.49405,0.53487,0.51119,0.3239,1.32491,1.72358,1.68353,0.000866375,0.000866375,0.000866375
95,3056.46,0.92166,0.995,1.3549,0.45873,0.53735,0.51697,0.33849,1.2697,1.62267,1.64872,0.00086225,0.00086225,0.00086225
96,3088.63,0.90355,0.96942,1.33107,0.49032,0.51267,0.49103,0.30545,1.34945,1.74224,1.73138,0.000858125,0.000858125,0.000858125
97,3119.69,0.90739,0.97547,1.33652,0.52293,0.49692,0.48515,0.31236,1.33728,1.68051,1.71848,0.000854,0.000854,0.000854
98,3150.92,0.91118,0.95909,1.34423,0.54499,0.46245,0.4458,0.29461,1.37017,1.84622,1.76241,0.000849875,0.000849875,0.000849875
99,3182.05,0.93581,0.9673,1.35202,0.45732,0.51601,0.46475,0.30327,1.35279,1.7519,1.72983,0.00084575,0.00084575,0.00084575
100,3214.04,0.93044,0.98003,1.35995,0.59019,0.4454,0.48805,0.32975,1.25397,1.69406,1.65575,0.000841625,0.000841625,0.000841625
101,3246.83,0.90494,0.93724,1.35085,0.46605,0.57122,0.50291,0.32467,1.3377,1.74183,1.70744,0.0008375,0.0008375,0.0008375
102,3278.95,0.90814,0.93804,1.33987,0.52773,0.46823,0.51297,0.3272,1.33106,1.64342,1.71725,0.000833375,0.000833375,0.000833375
103,3311.18,0.91697,0.97532,1.34894,0.50396,0.46474,0.50553,0.32892,1.3076,1.67873,1.70326,0.00082925,0.00082925,0.00082925
104,3342.3,0.91368,0.97002,1.34189,0.53846,0.54113,0.54023,0.35005,1.28119,1.68809,1.66802,0.000825125,0.000825125,0.000825125
105,3373.6,0.91285,0.93561,1.33127,0.47232,0.49901,0.49718,0.33056,1.32266,1.64863,1.69639,0.000821,0.000821,0.000821
106,3404.96,0.88446,0.90933,1.31256,0.52481,0.50493,0.51285,0.33993,1.30296,1.65397,1.66527,0.000816875,0.000816875,0.000816875
107,3435.77,0.88895,0.93299,1.32836,0.44421,0.53829,0.476,0.32318,1.28381,1.69108,1.64509,0.00081275,0.00081275,0.00081275
108,3466.28,0.91055,0.95689,1.33634,0.56196,0.51028,0.51184,0.33889,1.31282,1.5644,1.69009,0.000808625,0.000808625,0.000808625
109,3496.63,0.87997,0.91874,1.32086,0.47322,0.5338,0.50666,0.34923,1.26788,1.67708,1.64379,0.0008045,0.0008045,0.0008045
110,3529.75,0.86776,0.91717,1.31199,0.463,0.60347,0.51447,0.34453,1.29496,1.64786,1.68016,0.000800375,0.000800375,0.000800375
111,3560.4,0.85486,0.9173,1.30521,0.44287,0.55368,0.49643,0.33509,1.29237,1.67572,1.65628,0.00079625,0.00079625,0.00079625
112,3591.09,0.88963,0.92603,1.32671,0.48095,0.46288,0.47081,0.31667,1.30161,1.71869,1.66301,0.000792125,0.000792125,0.000792125
113,3621.36,0.86457,0.87612,1.29908,0.44148,0.50162,0.4872,0.33198,1.27295,1.67663,1.65044,0.000788,0.000788,0.000788
114,3652.75,0.88577,0.88621,1.31123,0.45564,0.63626,0.52734,0.34948,1.29531,1.58081,1.64423,0.000783875,0.000783875,0.000783875
115,3683.62,0.85638,0.87524,1.3071,0.51768,0.51402,0.53225,0.34789,1.32344,1.60638,1.68307,0.00077975,0.00077975,0.00077975
116,3714.26,0.88393,0.88734,1.30498,0.49878,0.49306,0.50595,0.34035,1.291,1.6647,1.6446,0.000775625,0.000775625,0.000775625
117,3744.34,0.8456,0.87154,1.2911,0.44683,0.55599,0.49928,0.34017,1.29079,1.66242,1.67516,0.0007715,0.0007715,0.0007715
118,3775.48,0.85984,0.88832,1.29696,0.50204,0.56267,0.5052,0.34256,1.24505,1.66258,1.61607,0.000767375,0.000767375,0.000767375
119,3807.85,0.86327,0.88139,1.3066,0.54892,0.51847,0.54015,0.35694,1.24962,1.58586,1.61123,0.00076325,0.00076325,0.00076325
120,3839.47,0.87866,0.92363,1.30678,0.54992,0.52958,0.50505,0.34677,1.22322,1.67514,1.60308,0.000759125,0.000759125,0.000759125
121,3869.94,0.85416,0.86707,1.29532,0.46001,0.54092,0.50836,0.33676,1.29656,1.67992,1.64958,0.000755,0.000755,0.000755
122,3901.39,0.85691,0.85464,1.28974,0.4831,0.61828,0.5076,0.33714,1.23238,1.64484,1.61782,0.000750875,0.000750875,0.000750875
123,3932.04,0.85685,0.87095,1.2947,0.46607,0.56033,0.50069,0.33247,1.29874,1.6686,1.66606,0.00074675,0.00074675,0.00074675
124,3962.79,0.84631,0.86004,1.29272,0.5622,0.4922,0.52891,0.35681,1.27597,1.66432,1.62535,0.000742625,0.000742625,0.000742625
125,3996.64,0.83972,0.85616,1.28229,0.43572,0.61753,0.51298,0.33845,1.3088,1.58698,1.67469,0.0007385,0.0007385,0.0007385
126,4027.78,0.85736,0.8666,1.29564,0.47151,0.59612,0.51614,0.35489,1.28453,1.65688,1.64021,0.000734375,0.000734375,0.000734375
127,4059.54,0.84298,0.83346,1.2738,0.57714,0.44367,0.51358,0.34181,1.30806,1.61438,1.6745,0.00073025,0.00073025,0.00073025
128,4089.78,0.8416,0.83708,1.27502,0.54814,0.52426,0.5237,0.35734,1.28082,1.61036,1.64903,0.000726125,0.000726125,0.000726125
129,4120.29,0.85024,0.8443,1.29434,0.51596,0.57708,0.53223,0.36528,1.25839,1.5993,1.59819,0.000722,0.000722,0.000722
130,4152.43,0.84258,0.8247,1.28243,0.52096,0.53338,0.52258,0.35266,1.24378,1.68807,1.59183,0.000717875,0.000717875,0.000717875
131,4182.93,0.83443,0.83693,1.28228,0.53174,0.52352,0.55365,0.37981,1.28043,1.61255,1.63323,0.00071375,0.00071375,0.00071375
132,4214.57,0.82997,0.85619,1.27609,0.47487,0.5618,0.51765,0.36056,1.24737,1.64328,1.61446,0.000709625,0.000709625,0.000709625
133,4245.28,0.83325,0.82213,1.28085,0.49314,0.57793,0.50777,0.35324,1.26551,1.64786,1.62163,0.0007055,0.0007055,0.0007055
134,4276.48,0.84788,0.84885,1.28706,0.52811,0.52698,0.51112,0.35213,1.24208,1.63201,1.60488,0.000701375,0.000701375,0.000701375
135,4307.05,0.83209,0.82519,1.27015,0.45129,0.52202,0.48067,0.32194,1.25618,1.73573,1.62373,0.00069725,0.00069725,0.00069725
136,4339.05,0.83068,0.81483,1.27619,0.55483,0.54284,0.53453,0.37942,1.23432,1.5874,1.58723,0.000693125,0.000693125,0.000693125
137,4369.86,0.83139,0.83544,1.27975,0.45648,0.57941,0.53846,0.37402,1.23768,1.59953,1.6051,0.000689,0.000689,0.000689
138,4401.29,0.82679,0.81146,1.26828,0.52307,0.5917,0.53484,0.36225,1.23,1.62891,1.61359,0.000684875,0.000684875,0.000684875
139,4431.8,0.84153,0.81331,1.27626,0.49063,0.55923,0.53923,0.37865,1.22541,1.58601,1.58503,0.00068075,0.00068075,0.00068075
140,4462.16,0.83422,0.81742,1.26792,0.51968,0.56585,0.53868,0.36623,1.27607,1.58241,1.64822,0.000676625,0.000676625,0.000676625
141,4492.86,0.8266,0.81448,1.27539,0.46698,0.59183,0.53966,0.38231,1.24038,1.61669,1.61531,0.0006725,0.0006725,0.0006725
142,4526.32,0.82122,0.82803,1.26819,0.58792,0.55702,0.55479,0.37988,1.20221,1.58215,1.57335,0.000668375,0.000668375,0.000668375
143,4557.02,0.82435,0.81628,1.26211,0.52822,0.59989,0.56347,0.37797,1.23743,1.56202,1.59592,0.00066425,0.00066425,0.00066425
144,4588.78,0.81191,0.77969,1.25582,0.55706,0.53676,0.5623,0.39422,1.24285,1.54319,1.59521,0.000660125,0.000660125,0.000660125
145,4621.83,0.81535,0.79871,1.25955,0.58425,0.50404,0.56057,0.3798,1.30961,1.5487,1.66784,0.000656,0.000656,0.000656
146,4652.39,0.799,0.78074,1.24994,0.55219,0.54077,0.55756,0.374,1.27072,1.53968,1.63966,0.000651875,0.000651875,0.000651875
147,4682.99,0.8092,0.78317,1.25319,0.56102,0.56871,0.55943,0.37712,1.25809,1.58513,1.61903,0.00064775,0.00064775,0.00064775
148,4713.3,0.81016,0.77862,1.25922,0.49413,0.6594,0.57357,0.39836,1.25415,1.56241,1.60766,0.000643625,0.000643625,0.000643625
149,4746.19,0.82639,0.80237,1.26176,0.52395,0.64307,0.58837,0.39811,1.24284,1.50655,1.58715,0.0006395,0.0006395,0.0006395
150,4777.74,0.79167,0.7821,1.24369,0.58497,0.53688,0.56342,0.37749,1.25409,1.51023,1.60879,0.000635375,0.000635375,0.000635375
151,4808,0.7953,0.7913,1.24473,0.50942,0.55198,0.53722,0.36764,1.25875,1.57766,1.58569,0.00063125,0.00063125,0.00063125
152,4838.54,0.80132,0.79612,1.24704,0.52597,0.55745,0.54783,0.37055,1.24599,1.57843,1.60839,0.000627125,0.000627125,0.000627125
153,4871.48,0.7972,0.76646,1.24586,0.53443,0.54861,0.55462,0.37762,1.26162,1.58875,1.62462,0.000623,0.000623,0.000623
154,4902.45,0.78124,0.77481,1.23725,0.54452,0.55286,0.56117,0.3917,1.24275,1.52348,1.64015,0.000618875,0.000618875,0.000618875
155,4932.85,0.80127,0.76968,1.24053,0.51764,0.60662,0.58756,0.40338,1.21775,1.46086,1.59975,0.00061475,0.00061475,0.00061475
156,4964.93,0.79023,0.75142,1.23682,0.48574,0.61312,0.5521,0.37296,1.27309,1.52839,1.61915,0.000610625,0.000610625,0.000610625
157,4995.84,0.80714,0.77993,1.25558,0.61967,0.50064,0.56399,0.38633,1.20973,1.59226,1.57309,0.0006065,0.0006065,0.0006065
158,5026.77,0.79117,0.75398,1.23579,0.63016,0.49169,0.56966,0.38503,1.22136,1.49858,1.57924,0.000602375,0.000602375,0.000602375
159,5057.17,0.79228,0.76877,1.23523,0.48128,0.63285,0.57194,0.38497,1.23599,1.52691,1.61875,0.00059825,0.00059825,0.00059825
