                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3925,                  3.752,                 3.9773,                0.00319,                0.06383,                0.00288,                0.00082,                 3.0336,                 58.602,                  3.476,             0.00041521,             0.00041521,             0.00041521
                      2,                 2.8435,                 3.1272,                 3.1774,                0.03767,                0.09756,                0.01771,                0.00614,                 2.5444,                 5.5034,                 2.9255,             0.00082913,             0.00082913,             0.00082913
                      3,                 2.4387,                 2.9091,                  2.806,                0.56016,                0.04032,                0.03527,                0.00976,                 2.7008,                 3.6117,                 2.9533,              0.0012403,              0.0012403,              0.0012403
                      4,                 2.1923,                 2.7748,                   2.57,                0.03472,                0.14818,                 0.0348,                0.01126,                 2.3243,                 4.5623,                 2.7162,              0.0012376,              0.0012376,              0.0012376
                      5,                 2.0234,                 2.5655,                 2.3709,                0.09414,                0.13894,                0.07769,                0.03224,                 2.2891,                 3.3134,                  2.632,              0.0012335,              0.0012335,              0.0012335
                      6,                 1.9097,                 2.4801,                 2.2718,                0.14274,                0.27572,                0.10317,                0.04329,                 2.0327,                 2.9349,                 2.3921,              0.0012294,              0.0012294,              0.0012294
                      7,                 1.8037,                 2.3477,                 2.1601,                0.10582,                0.24262,                 0.1196,                  0.056,                 1.9878,                  3.007,                  2.314,              0.0012252,              0.0012252,              0.0012252
                      8,                 1.7407,                  2.238,                 2.0794,                0.18861,                0.23443,                0.12764,                0.06163,                 1.8979,                 2.7359,                 2.2528,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.7208,                 2.2083,                 2.0286,                0.18642,                0.27927,                0.14912,                0.06431,                 1.9253,                 2.6132,                 2.2234,               0.001217,               0.001217,               0.001217
                     10,                 1.6637,                 2.1278,                  1.986,                0.23408,                0.26843,                 0.1437,                0.06045,                 1.9241,                 2.7446,                  2.216,              0.0012129,              0.0012129,              0.0012129
                     11,                 1.6315,                 2.1449,                 1.9759,                0.19891,                0.30944,                0.17224,                0.07723,                 1.9925,                 2.6312,                 2.2764,              0.0012087,              0.0012087,              0.0012087
                     12,                 1.5788,                 2.0643,                  1.922,                0.20221,                  0.394,                0.18669,                0.09135,                 1.8077,                 2.4367,                  2.048,              0.0012046,              0.0012046,              0.0012046
                     13,                 1.5254,                 1.9967,                 1.8791,                0.22533,                  0.388,                0.18663,                0.08575,                 1.8624,                 2.4759,                 2.1155,              0.0012005,              0.0012005,              0.0012005
                     14,                 1.5293,                 1.9803,                  1.867,                0.22445,                0.32322,                0.18313,                0.09629,                 1.7669,                 2.5751,                 2.0423,              0.0011964,              0.0011964,              0.0011964
                     15,                 1.4751,                 1.9201,                 1.8243,                0.35565,                0.30758,                0.26434,                0.12785,                 1.8263,                 2.4081,                 2.1059,              0.0011922,              0.0011922,              0.0011922
                     16,                 1.4912,                  1.918,                 1.8478,                0.20833,                0.37864,                0.14345,                0.06227,                 1.9336,                 2.6219,                 2.1818,              0.0011881,              0.0011881,              0.0011881
                     17,                 1.4724,                 1.9106,                 1.8273,                0.24613,                0.37701,                0.20746,                0.09319,                 1.8658,                 2.4549,                 2.1495,               0.001184,               0.001184,               0.001184
                     18,                 1.4458,                 1.8694,                 1.7869,                0.24547,                0.41527,                0.23841,                0.12212,                 1.6669,                 2.3428,                 1.9553,              0.0011799,              0.0011799,              0.0011799
                     19,                 1.4345,                 1.8347,                 1.7789,                0.26425,                0.39546,                0.23806,                0.12563,                 1.6958,                 2.2451,                 1.9444,              0.0011757,              0.0011757,              0.0011757
                     20,                 1.4158,                 1.8284,                 1.7516,                0.29354,                0.42653,                0.28367,                0.14878,                 1.6744,                 2.3028,                 1.9338,              0.0011716,              0.0011716,              0.0011716
                     21,                 1.3841,                 1.7783,                 1.7491,                0.31265,                0.48586,                0.27969,                0.15423,                 1.6407,                 2.1606,                   1.91,              0.0011675,              0.0011675,              0.0011675
                     22,                 1.3882,                 1.8109,                 1.7262,                0.25563,                0.45353,                 0.2561,                0.13254,                 1.7322,                 2.2777,                 1.9947,              0.0011634,              0.0011634,              0.0011634
                     23,                 1.3652,                 1.7587,                 1.7257,                0.24178,                0.39166,                0.24272,                0.13834,                 1.6223,                 2.1511,                 1.9694,              0.0011593,              0.0011593,              0.0011593
                     24,                 1.3572,                 1.7392,                 1.7145,                0.27825,                0.41445,                0.25579,                0.13095,                 1.7162,                 2.2306,                 1.9995,              0.0011551,              0.0011551,              0.0011551
                     25,                 1.3258,                 1.6973,                 1.6893,                0.28465,                 0.4672,                0.30961,                0.16571,                 1.6396,                 2.1255,                 1.9099,               0.001151,               0.001151,               0.001151
                     26,                 1.2986,                 1.6791,                 1.6624,                0.29762,                0.52796,                 0.3186,                0.18264,                 1.5509,                 2.0233,                 1.8086,              0.0011469,              0.0011469,              0.0011469
                     27,                 1.2823,                 1.6711,                 1.6353,                 0.3149,                 0.4565,                0.30193,                0.17745,                 1.5076,                 2.0445,                 1.8086,              0.0011428,              0.0011428,              0.0011428
                     28,                 1.2723,                 1.6517,                 1.6564,                0.32578,                0.34475,                0.29594,                0.15604,                 1.5702,                 2.1089,                 1.8593,              0.0011386,              0.0011386,              0.0011386
                     29,                 1.2793,                 1.6539,                 1.6501,                0.37412,                0.37691,                0.29417,                0.16775,                  1.535,                 2.0704,                 1.8589,              0.0011345,              0.0011345,              0.0011345
