epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5164,3.38819,3.97413,3.97214,0.00858,0.10091,0.00414,0.00117,3.02411,inf,8.38779,0.00041521,0.00041521,0.00041521
2,94.0954,2.76324,3.13277,3.09661,0.0074,0.10824,0.00847,0.00235,2.64045,12.1187,3.08019,0.000829131,0.000829131,0.000829131
3,133.716,2.36822,2.87121,2.74808,0.06201,0.17463,0.03457,0.01172,2.50037,3.7965,2.82508,0.0012403,0.0012403,0.0012403
4,173.565,2.13348,2.67,2.51261,0.11296,0.16181,0.07812,0.03505,2.14069,2.95394,2.50736,0.00123763,0.00123763,0.00123763
5,213.74,1.96572,2.4854,2.3197,0.07879,0.18378,0.06118,0.02715,2.11278,3.07434,2.55883,0.0012335,0.0012335,0.0012335
6,255.642,1.85941,2.3679,2.20076,0.16404,0.29843,0.11774,0.05099,1.98596,2.82296,2.29948,0.00122937,0.00122937,0.00122937
7,296.487,1.77401,2.28046,2.1072,0.12724,0.24657,0.12334,0.04867,2.11957,2.75885,2.39026,0.00122525,0.00122525,0.00122525
8,335.786,1.69937,2.15995,2.03418,0.09775,0.27349,0.08872,0.036,2.05661,2.96544,2.29775,0.00122112,0.00122112,0.00122112
9,374.396,1.65095,2.10594,1.98147,0.11638,0.31495,0.11762,0.04597,2.01002,2.70403,2.34525,0.001217,0.001217,0.001217
10,412.64,1.62442,2.10229,1.9649,0.20916,0.35386,0.18277,0.07433,1.94544,2.50441,2.2165,0.00121287,0.00121287,0.00121287
11,452.304,1.60166,2.02158,1.92404,0.20326,0.2949,0.16146,0.06921,1.90538,2.54339,2.19903,0.00120875,0.00120875,0.00120875
12,490.908,1.54416,1.99231,1.85468,0.19742,0.32532,0.1701,0.07885,1.78591,2.44417,2.04376,0.00120462,0.00120462,0.00120462
