                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1636,                 1.4332,                 1.5871,                 0.2962,                0.48045,                0.34425,                0.21197,                 1.4215,                 1.9732,                 1.8315,              0.0011098,              0.0011098,              0.0011098
                     36,                 1.1378,                 1.3983,                 1.5623,                0.38307,                0.45437,                0.37048,                0.22063,                 1.4412,                 1.8936,                   1.83,              0.0011056,              0.0011056,              0.0011056
                     37,                 1.1303,                 1.3953,                 1.5569,                0.49068,                0.36456,                0.38015,                0.21492,                 1.4225,                 1.9754,                 1.7741,              0.0011015,              0.0011015,              0.0011015
                     38,                 1.1173,                 1.4095,                 1.5357,                0.32511,                0.51925,                0.35026,                0.20776,                 1.4658,                  1.912,                 1.8304,              0.0010974,              0.0010974,              0.0010974
                     39,                 1.1155,                 1.3663,                 1.5446,                0.36315,                0.41527,                0.34348,                0.21041,                 1.4843,                 1.9261,                 1.8551,              0.0010933,              0.0010933,              0.0010933
                     40,                 1.1153,                 1.3491,                 1.5514,                0.32526,                0.46556,                0.34608,                 0.2069,                 1.4233,                 1.9763,                 1.7884,              0.0010891,              0.0010891,              0.0010891
                     41,                 1.0956,                 1.3229,                 1.5275,                0.36149,                0.49702,                0.37556,                0.22409,                 1.4293,                 1.9119,                 1.8387,               0.001085,               0.001085,               0.001085
                     42,                  1.085,                 1.3312,                 1.5182,                0.40049,                0.39809,                0.37892,                0.23811,                 1.3912,                 1.8914,                 1.7822,              0.0010809,              0.0010809,              0.0010809
                     43,                 1.0997,                 1.3434,                 1.5391,                0.36991,                0.42991,                0.37747,                 0.2265,                 1.4464,                 1.9544,                 1.8144,              0.0010768,              0.0010768,              0.0010768
                     44,                 1.0803,                 1.3079,                 1.5128,                0.37052,                0.39463,                0.35293,                0.22148,                 1.4186,                 1.9148,                  1.813,              0.0010726,              0.0010726,              0.0010726
                     45,                 1.0645,                   1.28,                 1.5066,                0.37031,                0.48049,                0.38052,                0.23357,                 1.4613,                 1.9675,                 1.8518,              0.0010685,              0.0010685,              0.0010685
                     46,                 1.0779,                 1.3097,                 1.5111,                0.38868,                0.37867,                0.36536,                0.22374,                 1.4674,                 2.0738,                 1.8346,              0.0010644,              0.0010644,              0.0010644
                     47,                 1.0502,                 1.2951,                 1.4897,                 0.4233,                0.42317,                0.38438,                0.21855,                 1.4283,                 2.0064,                 1.8078,              0.0010603,              0.0010603,              0.0010603
