                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  6.457,                 9.1426,                  7.973,                0.02548,                0.03371,                0.01052,                0.00239,                 6.0744,                 126.88,                 9.1615,             0.00041521,             0.00041521,             0.00041521
                      2,                  5.126,                 7.0899,                 6.1606,                0.04215,                0.07656,                0.03208,                0.01416,                 4.7357,                 8.7431,                 5.6358,             0.00082913,             0.00082913,             0.00082913
                      3,                 4.2641,                 6.2136,                 5.1585,                0.26895,                0.08816,                0.05233,                0.01949,                 4.2329,                 6.4984,                 5.3448,              0.0012403,              0.0012403,              0.0012403
                      4,                 3.9688,                 5.7121,                 4.7282,                0.08572,                 0.0949,                0.04722,                0.02397,                 4.0773,                 6.9577,                 4.9687,              0.0012376,              0.0012376,              0.0012376
                      5,                 3.7516,                 5.2923,                 4.4513,                0.10071,                0.11569,                0.08911,                0.04098,                 3.8848,                 5.7609,                 4.6969,              0.0012335,              0.0012335,              0.0012335
                      6,                 3.5653,                 5.1188,                 4.2841,                 0.1316,                0.11909,                0.07721,                0.03463,                 4.0586,                  5.782,                 4.5952,              0.0012294,              0.0012294,              0.0012294
                      7,                  3.436,                 4.8303,                 4.1174,                0.10623,                0.15612,                0.09905,                0.04844,                 3.7814,                 5.7977,                 4.3875,              0.0012252,              0.0012252,              0.0012252
                      8,                 3.2782,                 4.5777,                 3.9626,                0.11612,                0.17028,                0.11133,                 0.0618,                 3.6843,                 5.4973,                 4.3257,              0.0012211,              0.0012211,              0.0012211
                      9,                 3.2089,                 4.4691,                 3.8344,                0.16157,                0.27397,                 0.1361,                 0.0707,                 3.5954,                 5.1807,                 4.2305,               0.001217,               0.001217,               0.001217
                     10,                 3.1359,                 4.3124,                 3.7937,                0.18003,                0.28767,                0.16337,                0.08712,                 3.5922,                  4.986,                 4.1463,              0.0012129,              0.0012129,              0.0012129
                     11,                 3.1294,                 4.3499,                 3.8072,                0.16959,                0.28761,                0.16025,                 0.0913,                 3.4861,                  4.928,                 4.1266,              0.0012087,              0.0012087,              0.0012087
                     12,                 2.9725,                 4.1011,                 3.6291,                0.17045,                0.26285,                0.16521,                0.08424,                 3.5583,                 5.0918,                 4.0768,              0.0012046,              0.0012046,              0.0012046
                     13,                 2.9471,                 4.0337,                 3.6374,                0.19325,                0.23733,                0.15899,                0.08536,                 3.4935,                 4.9956,                 4.0569,              0.0012005,              0.0012005,              0.0012005
                     14,                 2.9211,                 3.9416,                 3.5872,                0.20512,                0.33066,                0.18971,                0.09324,                 3.4286,                  4.722,                 3.9552,              0.0011964,              0.0011964,              0.0011964
                     15,                 2.8142,                 3.8861,                 3.5124,                0.26954,                0.36348,                0.18857,                0.09814,                 3.3495,                 4.7393,                 3.8494,              0.0011922,              0.0011922,              0.0011922
                     16,                 2.8717,                  3.859,                 3.5552,                0.19214,                0.31975,                0.16956,                0.09037,                 3.2342,                 4.9988,                 3.8767,              0.0011881,              0.0011881,              0.0011881
                     17,                   2.78,                 3.7982,                 3.4908,                0.28008,                0.30905,                0.21012,                0.11895,                 3.2519,                 4.7111,                 3.8629,               0.001184,               0.001184,               0.001184
                     18,                 2.7927,                 3.7409,                 3.4621,                0.22993,                0.32005,                0.21696,                0.11516,                 3.2585,                 4.6068,                 3.8646,              0.0011799,              0.0011799,              0.0011799
                     19,                 2.7543,                 3.6684,                  3.434,                0.27983,                0.38322,                0.22733,                0.12494,                 3.1275,                 4.5219,                 3.7634,              0.0011757,              0.0011757,              0.0011757
                     20,                 2.6984,                 3.6252,                 3.3832,                0.29262,                 0.3543,                0.23405,                0.13253,                 3.1571,                 4.4252,                 3.7722,              0.0011716,              0.0011716,              0.0011716
                     21,                 2.6107,                 3.5468,                 3.3498,                 0.2258,                0.45293,                0.21003,                0.11508,                 3.2052,                 4.4002,                 3.8094,              0.0011675,              0.0011675,              0.0011675
                     22,                  2.683,                 3.6109,                 3.3422,                0.20411,                0.33453,                0.18806,                0.10026,                 3.3981,                 4.7077,                 3.9431,              0.0011634,              0.0011634,              0.0011634
                     23,                 2.6198,                 3.4989,                 3.3215,                0.25464,                0.41834,                0.22435,                0.13136,                 3.0275,                 4.2663,                 3.6822,              0.0011593,              0.0011593,              0.0011593
                     24,                 2.6234,                 3.4189,                 3.2978,                0.27969,                0.39605,                0.24416,                0.13662,                 3.0673,                 4.2426,                 3.7319,              0.0011551,              0.0011551,              0.0011551
                     25,                 2.5666,                 3.3634,                 3.2756,                0.27317,                0.44721,                0.29001,                 0.1664,                 3.0731,                 4.0669,                 3.6659,               0.001151,               0.001151,               0.001151
                     26,                  2.528,                 3.3124,                 3.2173,                0.29234,                0.34816,                0.25807,                0.15262,                 3.0405,                 4.2049,                 3.5983,              0.0011469,              0.0011469,              0.0011469
                     27,                 2.4871,                 3.2922,                 3.1845,                0.31271,                0.35282,                0.26424,                0.15714,                 2.9754,                 4.2656,                 3.6533,              0.0011428,              0.0011428,              0.0011428
                     28,                 2.4558,                 3.1791,                 3.1829,                 0.3373,                0.37529,                0.27791,                0.15561,                 2.9705,                  4.058,                 3.6135,              0.0011386,              0.0011386,              0.0011386
                     29,                 2.4568,                 3.2717,                  3.185,                0.26446,                0.40248,                0.26113,                0.14286,                 3.0415,                 4.0167,                 3.6756,              0.0011345,              0.0011345,              0.0011345
                     30,                   2.43,                  3.138,                 3.1494,                0.35454,                0.43291,                0.29552,                0.17174,                 2.9434,                 3.9827,                  3.582,              0.0011304,              0.0011304,              0.0011304
                     31,                 2.4384,                 3.1686,                 3.1543,                0.33587,                0.36526,                0.26231,                0.15375,                 2.8535,                 4.1776,                 3.4825,              0.0011263,              0.0011263,              0.0011263
                     32,                 2.3869,                 3.1179,                 3.1011,                0.32732,                0.42752,                0.29609,                0.15553,                 3.0386,                 4.0408,                 3.5931,              0.0011221,              0.0011221,              0.0011221
                     33,                 2.4235,                 3.1205,                 3.1296,                0.28829,                  0.462,                0.28503,                0.17045,                 2.9757,                 4.0539,                 3.6143,               0.001118,               0.001118,               0.001118
                     34,                 2.3884,                 3.0293,                 3.1249,                0.28548,                0.48636,                0.26376,                0.14428,                 2.9727,                  4.192,                 3.5615,              0.0011139,              0.0011139,              0.0011139
                     35,                 2.3943,                 2.9975,                 3.1026,                0.32907,                0.36084,                 0.2893,                0.16607,                 2.9691,                 4.2012,                 3.6031,              0.0011098,              0.0011098,              0.0011098
                     36,                 2.3313,                 2.9551,                 3.0672,                0.29489,                0.44542,                0.27523,                0.15198,                 2.9562,                 4.0348,                 3.6238,              0.0011056,              0.0011056,              0.0011056
                     37,                 2.3692,                 2.9581,                 3.1051,                0.32164,                 0.3895,                0.28789,                0.16825,                 2.8792,                 4.1273,                 3.5166,              0.0011015,              0.0011015,              0.0011015
                     38,                 2.3227,                  2.961,                 3.0317,                0.29028,                0.47485,                0.30514,                0.19328,                 2.9483,                 3.9962,                 3.5461,              0.0010974,              0.0010974,              0.0010974
                     39,                 2.3189,                 2.9096,                 3.0463,                0.39214,                0.39593,                0.28629,                0.16844,                  2.952,                 4.0654,                 3.5376,              0.0010933,              0.0010933,              0.0010933
                     40,                 2.2813,                 2.8833,                  3.022,                0.27985,                0.46304,                0.28221,                 0.1803,                 2.8603,                 3.9301,                 3.4428,              0.0010891,              0.0010891,              0.0010891
                     41,                 2.2511,                 2.8405,                 3.0014,                0.38537,                0.35774,                  0.306,                0.18525,                 3.0285,                 3.9312,                 3.6886,               0.001085,               0.001085,               0.001085
                     42,                 2.2584,                 2.7961,                 2.9955,                0.35916,                0.38942,                0.31685,                0.20016,                 2.8548,                  3.865,                 3.5175,              0.0010809,              0.0010809,              0.0010809
