    40/299    0.493G   0.03982  0.007978   0.01762   0.06542        20       320    0.2647    0.3909    0.2209    0.1067   0.06967   0.01061   0.02547
    41/299    0.493G   0.04004  0.007996   0.01706    0.0651        23       320    0.2538    0.4394    0.2169   0.09521    0.0704   0.01063   0.02554
    42/299    0.493G   0.03904  0.008108   0.01709   0.06424        33       320    0.2529    0.3899    0.2117    0.1024   0.06902   0.01095     0.027
    43/299    0.493G   0.03996  0.008246   0.01751   0.06572        40       320    0.2785    0.3477    0.2234     0.105   0.06797   0.01108   0.02684
    44/299    0.493G   0.03865  0.008156   0.01712   0.06393        38       320     0.232    0.3546    0.1856   0.09477    0.0686   0.01102   0.02598
    45/299    0.493G   0.03909  0.008192   0.01719   0.06447        28       320    0.2273     0.517    0.2321    0.1182   0.06899   0.01072    0.0253
    46/299    0.493G   0.03801  0.007872   0.01685   0.06274        37       320    0.3235    0.3583    0.2505     0.112   0.06484   0.01098   0.02584
    47/299    0.493G    0.0382   0.00807    0.0167   0.06298        22       320    0.2962    0.2822    0.2117   0.09624   0.06743   0.01097   0.02758
    48/299    0.493G   0.03737  0.007902   0.01682   0.06209        27       320     0.287    0.3673    0.2311    0.1109   0.06866   0.01065   0.02668
    49/299    0.493G   0.03805  0.007965   0.01702   0.06303        17       320    0.3761    0.3672    0.2753    0.1374     0.068   0.01021   0.02507
    50/299    0.493G   0.03831  0.007924   0.01661   0.06285        27       320    0.2624    0.4409    0.2409    0.1199   0.06791   0.01034   0.02682
    51/299    0.493G   0.03818  0.008112   0.01676   0.06305        17       320    0.3073    0.3815    0.2447    0.1235   0.07003   0.01039   0.02586
    52/299    0.493G    0.0383  0.007934   0.01708   0.06331        42       320    0.2636    0.4349    0.2645    0.1341   0.06806   0.01024   0.02544
    53/299    0.493G   0.03761  0.008193   0.01626   0.06206        31       320    0.2067    0.5338    0.2258    0.1169   0.06816   0.01005   0.02678
    54/299    0.493G   0.03785  0.008145   0.01701     0.063        32       320    0.2985    0.4158    0.2524    0.1299   0.06628   0.01052   0.02468
    55/299    0.493G   0.03676   0.00797   0.01585   0.06058        15       320    0.3497    0.3825    0.2982    0.1538   0.06689   0.01003   0.02454
