                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3669,                  3.761,                 3.8817,                0.01198,                0.08892,                0.00713,                0.00184,                 3.0338,                    inf,                 5.2709,             0.00041521,             0.00041521,             0.00041521
                      2,                 2.6187,                 2.9636,                 2.8821,                0.06788,                 0.1357,                0.04452,                0.01301,                 2.4661,                 3.7274,                 2.6875,             0.00082913,             0.00082913,             0.00082913
                      3,                  2.187,                 2.6875,                 2.4449,                0.02027,                0.04922,                0.01383,                0.00371,                 2.8767,                 16.018,                  3.399,              0.0012403,              0.0012403,              0.0012403
                      4,                 1.9981,                  2.549,                 2.2588,                0.07929,                0.17308,                0.06489,                0.03053,                 2.2544,                  3.371,                 2.5543,              0.0012376,              0.0012376,              0.0012376
                      5,                 1.8466,                 2.4037,                 2.1231,                0.11484,                0.19961,                0.08242,                0.03861,                 2.0932,                   2.94,                 2.3602,              0.0012335,              0.0012335,              0.0012335
                      6,                 1.7768,                 2.3323,                 2.0526,                 0.1345,                0.25261,                0.10897,                0.05053,                 2.0922,                 3.6276,                 2.3223,              0.0012294,              0.0012294,              0.0012294
                      7,                 1.6951,                  2.199,                 1.9791,                0.18091,                0.30315,                0.15463,                0.07703,                 1.9249,                 2.6974,                 2.1877,              0.0012252,              0.0012252,              0.0012252
                      8,                 1.5914,                 2.1024,                 1.8756,                0.15922,                0.25983,                0.15182,                0.08096,                 1.8335,                 2.7003,                 2.1214,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.5594,                 2.0753,                 1.8316,                0.18299,                0.32481,                0.17718,                0.08799,                 1.8633,                  2.655,                 2.1333,               0.001217,               0.001217,               0.001217
                     10,                 1.5325,                 2.0275,                 1.8161,                0.25738,                0.38917,                0.21832,                0.11571,                 1.7939,                 2.3218,                  2.015,              0.0012129,              0.0012129,              0.0012129
                     11,                 1.5251,                 2.0179,                 1.8161,                0.24507,                0.36086,                0.21489,                0.11436,                 1.7672,                 2.4279,                 2.0064,              0.0012087,              0.0012087,              0.0012087
                     12,                 1.4391,                  1.937,                 1.7263,                0.19329,                0.29165,                0.17413,                0.09578,                 1.7024,                 2.4292,                 1.9693,              0.0012046,              0.0012046,              0.0012046
                     13,                 1.4354,                 1.8726,                 1.7417,                0.23262,                0.37223,                0.20347,                0.11336,                 1.7347,                 2.3216,                  1.952,              0.0012005,              0.0012005,              0.0012005
                     14,                 1.4043,                 1.8459,                 1.6894,                0.23726,                0.43035,                0.21909,                0.10941,                 1.7611,                 2.3635,                   2.01,              0.0011964,              0.0011964,              0.0011964
                     15,                  1.375,                 1.8284,                 1.6747,                0.28919,                0.37205,                0.25102,                 0.1425,                 1.6449,                 2.1746,                 1.9284,              0.0011922,              0.0011922,              0.0011922
                     16,                 1.3758,                 1.8231,                 1.6798,                0.20188,                0.42151,                0.20545,                0.11682,                   1.65,                 2.2961,                 1.9199,              0.0011881,              0.0011881,              0.0011881
                     17,                 1.3496,                 1.7832,                 1.6607,                0.28105,                0.36641,                0.23294,                0.12749,                 1.6737,                 2.3013,                 1.9055,               0.001184,               0.001184,               0.001184
                     18,                 1.3621,                 1.7867,                 1.6536,                0.27041,                0.44756,                0.26148,                0.15699,                 1.5839,                 2.1983,                 1.8596,              0.0011799,              0.0011799,              0.0011799
                     19,                 1.3198,                 1.7263,                 1.6205,                 0.2886,                0.46649,                0.27998,                0.16516,                 1.5702,                 2.1096,                 1.8521,              0.0011757,              0.0011757,              0.0011757
                     20,                 1.3013,                 1.6908,                 1.5974,                0.34937,                 0.4626,                0.34341,                0.19549,                 1.5759,                 2.0509,                 1.8249,              0.0011716,              0.0011716,              0.0011716
                     21,                 1.2907,                 1.6858,                 1.6028,                0.26426,                0.46709,                0.28171,                0.16404,                 1.4996,                 2.1183,                 1.7958,              0.0011675,              0.0011675,              0.0011675
                     22,                   1.28,                 1.7155,                 1.5907,                0.26287,                0.46483,                 0.2789,                0.15821,                 1.5685,                 2.0945,                 1.8474,              0.0011634,              0.0011634,              0.0011634
                     23,                  1.281,                 1.6559,                   1.59,                0.30036,                0.39273,                0.25252,                 0.1419,                 1.5975,                 2.1307,                 1.8853,              0.0011593,              0.0011593,              0.0011593
                     24,                 1.2812,                 1.6558,                 1.5874,                0.33585,                0.42046,                0.32025,                0.18078,                 1.5482,                 2.0529,                 1.8103,              0.0011551,              0.0011551,              0.0011551
