                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1978,                 3.6863,                  3.857,                0.00501,                0.03846,                0.00525,                0.00174,                 3.2803,                 4.4093,                 4.0644,             0.00041521,             0.00041521,             0.00041521
                      2,                 2.4588,                 2.9066,                 2.9087,                0.06896,                0.20325,                0.04788,                0.01881,                 2.3533,                  4.053,                 2.8307,             0.00082913,             0.00082913,             0.00082913
                      3,                 2.1228,                 2.7395,                 2.5488,                0.08206,                0.08405,                0.03678,                  0.012,                 2.6695,                 3.4192,                 3.0639,              0.0012403,              0.0012403,              0.0012403
                      4,                 1.9647,                  2.592,                 2.3487,                0.11479,                0.25966,                0.09598,                0.05001,                  2.081,                 3.0305,                 2.4784,              0.0012376,              0.0012376,              0.0012376
                      5,                 1.8306,                 2.4477,                 2.1885,                0.11862,                 0.2078,                0.08508,                0.03397,                 2.1966,                 3.3189,                 2.6089,              0.0012335,              0.0012335,              0.0012335
                      6,                 1.7606,                 2.3706,                 2.1227,                0.13003,                0.28433,                0.10176,                0.04621,                 1.9795,                 3.2039,                 2.3606,              0.0012294,              0.0012294,              0.0012294
                      7,                 1.6686,                 2.2719,                  2.039,                0.14124,                0.32598,                0.15774,                0.07583,                 1.8782,                 2.7661,                  2.227,              0.0012252,              0.0012252,              0.0012252
                      8,                   1.62,                 2.2012,                 1.9739,                 0.1958,                0.19424,                0.12439,                0.06279,                   1.94,                 2.7701,                 2.2982,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.5791,                  2.158,                 1.9039,                 0.1026,                0.24856,                0.10558,                0.05206,                 1.8024,                 2.7693,                  2.159,               0.001217,               0.001217,               0.001217
                     10,                 1.4888,                 2.0575,                  1.842,                0.13769,                0.26196,                0.12693,                0.06467,                 1.8801,                 2.6426,                 2.2126,              0.0012129,              0.0012129,              0.0012129
                     11,                 1.5181,                 2.1025,                 1.8768,                0.14693,                0.22606,                0.13683,                 0.0739,                 1.8777,                 2.6858,                 2.1821,              0.0012087,              0.0012087,              0.0012087
                     12,                 1.4464,                  2.022,                 1.8042,                0.12594,                0.26631,                0.12747,                0.06408,                 1.8704,                 2.6686,                 2.1302,              0.0012046,              0.0012046,              0.0012046
                     13,                 1.4306,                 1.9547,                  1.786,                0.18703,                 0.2574,                0.15587,                0.08745,                 1.7453,                 2.6198,                 2.0634,              0.0012005,              0.0012005,              0.0012005
                     14,                 1.4277,                 1.9513,                 1.7861,                0.19664,                0.38284,                0.19022,                0.09886,                 1.7204,                 2.3467,                 2.0503,              0.0011964,              0.0011964,              0.0011964
                     15,                 1.3794,                 1.8887,                 1.7512,                0.26672,                0.36291,                0.25965,                0.12967,                 1.7992,                 2.2573,                 2.1134,              0.0011922,              0.0011922,              0.0011922
                     16,                 1.3992,                 1.8756,                 1.7567,                0.21961,                0.32221,                0.22611,                0.11717,                 1.7358,                 2.4379,                 2.0978,              0.0011881,              0.0011881,              0.0011881
